CITY,state,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
BIRMINGHAM,AL,46,53,57,65,65,67,59,62,59,66,55,49,58
MONTGOMERY,AL,47,55,58,64,63,64,61,61,59,63,55,49,58
ANCHORAGE,AK,43,46,51,50,51,46,43,43,41,36,35,33,43
JUNEAU,AK,39,35,38,42,44,37,33,35,27,21,26,21,33
NOME,AK,38,56,54,52,52,43,39,34,38,35,30,36,42
FLAGSTAFF,AZ,71,73,72,82,83,88,74,75,79,77,72,76,76
PHOENIX,AZ,79,81,83,90,93,95,86,87,89,88,79,79,85
TUCSON,AZ,80,82,86,92,94,93,80,84,87,88,83,79,85
FORT SMITH,AR,52,56,58,60,63,70,75,70,63,63,51,51,61
LITTLE ROCK,AR,52,63,63,69,78,82,81,79,73,72,56,52,68
FRESNO,CA,44,60,74,83,91,93,96,95,93,86,59,44,76
LOS ANGELES,CA,69,70,70,78,63,63,82,85,74,74,70,71,72
SACRAMENTO,CA,45,62,73,82,92,94,97,96,93,84,61,47,77
SAN DIEGO,CA,74,73,71,72,56,57,70,72,65,70,73,75,69
SAN FRANCISCO,CA,58,66,71,77,75,69,70,69,73,71,55,55,67
DENVER,CO,71,73,71,71,64,71,71,72,74,71,64,65,69
GRAND JUNCTION,CO,59,64,63,69,72,80,78,78,79,71,60,57,69
PUEBLO,CO,75,77,78,82,79,83,81,81,82,79,73,71,78
HARTFORD,CT,59,61,56,59,58,61,66,63,59,57,47,50,58
WASHINGTON NAT'L,DC,47,53,54,60,61,64,64,66,62,57,49,45,56
JACKSONVILLE,FL,58,61,69,74,71,66,65,63,62,60,63,59,64
KEY WEST,FL,74,76,84,85,82,77,79,78,74,72,71,73,77
MIAMI,FL,68,70,74,81,73,73,81,77,75,72,65,66,72
PENSACOLA,FL,53,56,65,67,64,66,59,56,58,71,63,47,60
TAMPA,FL,66,68,75,80,77,70,67,65,65,67,66,62,69
ATLANTA,GA,50,56,59,66,65,66,62,62,60,67,61,53,60
MACON,GA,53,59,66,71,69,68,65,67,62,67,61,56,63
SAVANNAH,GA,54,58,62,70,64,62,59,57,56,62,61,53,59
HILO,HI,47,45,39,36,40,45,41,44,47,38,35,37,41
HONOLULU,HI,59,62,68,63,66,67,71,73,75,67,60,56,65
KAHULUI,HI,65,65,65,63,70,74,72,72,76,70,66,65,68
LIHUE,HI,52,54,55,57,62,62,61,65,63,56,47,46,56
BOISE,ID,32,49,66,68,74,76,85,82,80,69,41,34,63
POCATELLO,ID,38,55,63,64,68,74,82,80,78,68,43,36,62
CHICAGO,IL,41,42,53,53,58,66,68,61,61,56,35,35,52
MOLINE,IL,48,53,49,51,54,62,65,63,60,56,40,38,53
PEORIA,IL,47,53,52,53,57,66,67,63,61,58,41,38,54
SPRINGFIELD,IL,50,53,51,54,61,68,71,67,66,61,45,40,57
EVANSVILLE,IN,46,50,56,57,63,72,72,71,65,63,46,42,58
FORT WAYNE,IN,50,55,57,63,69,74,76,75,67,60,40,36,60
INDIANAPOLIS,IN,42,49,48,51,58,63,65,64,61,54,36,32,51
DES MOINES,IA,50,54,55,55,61,69,74,70,66,59,45,43,58
SIOUX CITY,IA,57,57,59,59,62,70,73,70,65,60,48,48,60
CONCORDIA,KS,62,63,63,66,70,78,80,78,72,69,59,58,68
DODGE CITY,KS,65,67,64,66,68,77,80,76,72,71,63,63,69
TOPEKA,KS,55,56,56,56,60,64,72,68,62,60,50,50,59
WICHITA,KS,59,63,61,64,66,70,76,74,66,66,57,56,64
LOUISVILLE,KY,46,51,50,55,59,64,66,65,62,60,44,41,55
PADUCAH,KY,58,52,60,65,60,73,77,81,72,71,58,52,64
LAKE CHARLES,LA,46,48,65,65,77,80,81,83,83,77,55,49,67
NEW ORLEANS,LA,48,52,56,62,59,67,61,59,61,70,57,54,58
SHREVEPORT,LA,45,54,53,54,58,68,70,69,64,64,57,51,58
PORTLAND,ME,57,58,53,55,53,55,62,63,60,58,47,49,55
BALTIMORE,MD,50,58,55,57,55,60,63,61,57,56,50,47,55
BOSTON,MA,56,56,56,59,60,64,68,66,64,60,48,49,58
ALPENA,MI,36,43,51,55,59,62,66,60,52,41,28,25,48
DETROIT,MI,39,47,50,55,60,65,69,68,61,50,35,31,52
GRAND RAPIDS,MI,30,38,45,51,56,61,65,62,57,44,29,22,46
LANSING,MI,40,47,49,53,60,64,69,66,58,47,29,29,50
SAULT STE. MARIE,MI,38,49,56,57,62,59,64,59,47,35,25,28,48
DULUTH,MN,48,51,51,55,56,55,64,60,52,42,33,36,50
MINNEAPOLIS-ST.PAUL,MN,53,59,57,56,62,67,74,69,62,51,37,38,57
JACKSON,MS,47,55,59,62,62,70,65,64,60,67,55,49,59
TUPELO,MS,,,,,,,66,59,61,67,57,45,
COLUMBIA,MO,51,50,51,55,59,67,70,66,62,60,49,44,57
KANSAS CITY,MO,58,56,62,66,65,70,74,67,66,62,48,52,62
ST. LOUIS,MO,51,55,55,58,60,66,71,63,64,60,45,41,57
SPRINGFIELD,MO,51,51,56,59,61,65,72,69,64,62,48,47,58
BILLINGS,MT,42,54,65,62,60,62,74,74,68,57,44,38,58
GREAT FALLS,MT,42,49,64,59,62,65,79,76,69,57,44,37,58
HAVRE,MT,48,60,71,72,75,78,86,83,76,63,48,44,67
HELENA,MT,40,51,61,59,59,62,77,73,68,58,42,35,57
MISSOULA,MT,30,43,55,56,58,60,80,78,69,57,37,30,54
LINCOLN,NE,55,52,54,56,61,73,73,70,68,62,50,51,60
NORTH PLATTE,NE,60,62,65,66,68,72,76,75,73,70,60,60,67
OMAHA,NE,56,57,59,59,65,72,74,74,64,63,49,47,61
VALENTINE,NE,60,61,59,61,64,70,76,76,72,65,58,57,64
ELY,NV,69,69,69,72,75,81,80,79,82,75,65,64,73
LAS VEGAS,NV,76,79,83,88,88,92,88,89,91,88,79,77,84
RENO,NV,65,66,79,84,87,89,95,93,95,88,72,65,81
WINNEMUCCA,NV,49,55,60,62,73,76,85,81,81,73,48,46,65
CONCORD,NH,56,59,53,58,58,59,66,62,57,54,43,45,55
MT. WASHINGTON,NH,30,34,33,37,37,31,30,30,35,35,30,27,32
ATLANTIC CITY,NJ,46,52,52,54,53,56,58,63,59,54,46,43,53
ALBUQUERQUE,NM,73,73,73,78,80,82,76,76,77,80,75,73,76
ROSWELL,NM,61,69,77,78,81,84,79,71,71,75,70,70,73
ALBANY,NY,46,52,51,55,53,55,62,58,54,46,33,36,50
BINGHAMTON,NY,39,42,44,51,55,59,64,61,53,45,29,28,47
BUFFALO,NY,31,36,45,54,59,62,66,63,56,44,29,23,47
ROCHESTER,NY,36,40,47,54,58,63,67,63,56,44,25,24,48
SYRACUSE,NY,34,39,46,53,53,54,60,57,51,40,25,23,44
ASHEVILLE,NC,55,61,61,66,61,64,59,55,55,61,59,56,59
CAPE HATTERAS,NC,47,54,59,67,60,60,61,62,61,57,54,46,57
CHARLOTTE,NC,56,62,64,70,69,69,67,69,65,65,61,57,64
GREENSBORO-WNSTN-SALM-HGHPT,NC,54,59,62,64,60,61,61,61,59,61,59,56,59
RALEIGH,NC,51,60,62,64,59,61,60,61,59,60,58,53,59
WILMINGTON,NC,56,61,64,71,64,63,63,61,61,63,64,57,62
BISMARCK,ND,54,52,61,58,64,67,75,72,67,53,42,45,59
FARGO,ND,52,54,59,57,60,64,74,71,63,51,39,39,56
WILLISTON,ND,51,57,61,59,63,68,77,75,67,56,43,47,60
CINCINNATI,OH,,,,,47,70,85,76,77,50,44,30,
CLEVELAND,OH,31,40,44,52,57,64,66,61,59,48,30,22,47
COLUMBUS,OH,34,42,42,49,53,54,54,54,55,53,33,28,45
DAYTON,OH,43,47,49,53,61,68,66,65,62,55,37,33,53
TOLEDO,OH,41,48,50,53,59,61,65,61,58,52,34,29,50
OKLAHOMA CITY,OK,60,61,65,67,66,73,79,76,68,67,58,59,66
TULSA,OK,51,56,58,60,60,66,74,71,60,62,50,51,59
PORTLAND,OR,28,41,55,58,63,61,72,69,64,46,29,20,50
ALLENTOWN,PA,,,,,,,90,93,82,52,47,,
PHILADELPHIA,PA,51,54,54,56,53,60,62,63,58,58,49,45,55
PITTSBURGH,PA,28,37,42,46,48,52,54,51,52,46,31,23,42
AVOCA,PA,43,50,49,55,55,60,64,62,53,48,33,33,50
PROVIDENCE,RI,57,58,55,56,55,59,64,61,62,61,48,51,57
COLUMBIA,SC,55,60,65,69,67,68,67,66,65,66,64,57,64
GREENVILLE-SPARTANBURG,SC,54,59,64,67,60,60,60,61,60,65,59,55,60
ABERDEEN,SD,,54,58,63,65,66,74,78,68,48,21,,
HURON,SD,62,62,62,59,66,69,76,74,69,59,51,51,63
RAPID CITY,SD,54,60,62,57,59,65,72,74,71,65,52,54,62
SIOUX FALLS,SD,53,59,46,54,55,58,71,61,59,57,49,55,56
CHATTANOOGA,TN,44,49,54,60,61,63,58,59,57,60,51,46,55
KNOXVILLE,TN,42,48,56,67,65,67,65,67,61,62,51,41,57
MEMPHIS,TN,51,55,58,65,67,74,74,74,67,70,56,50,63
NASHVILLE,TN,42,47,52,58,60,65,64,63,59,62,47,42,55
ABILENE,TX,63,66,70,71,71,77,80,75,69,68,64,65,69
AMARILLO,TX,67,70,71,75,73,79,78,76,70,74,67,65,72
AUSTIN,TX,50,56,53,52,52,66,72,70,64,61,55,51,58
BROWNSVILLE,TX,38,47,55,61,64,76,80,75,69,62,51,40,59
CORPUS CHRISTI,TX,43,50,52,54,55,72,79,74,68,66,57,45,59
DALLAS,TX,54,59,61,57,58,69,74,69,62,62,58,55,61
EL PASO,TX,77,83,87,88,89,90,83,81,81,85,81,79,83
HOUSTON,TX,43,50,47,50,57,65,67,64,63,62,54,48,55
LUBBOCK,TX,63,67,75,73,74,80,79,80,72,75,68,68,72
MIDLAND-ODESSA,TX,67,64,71,70,79,83,85,78,83,72,73,66,74
PORT ARTHUR,TX,41,54,50,53,60,69,66,62,62,67,58,47,57
SAN ANTONIO,TX,49,55,57,51,50,65,72,69,62,60,54,48,57
SALT LAKE CITY,UT,43,59,67,69,73,81,85,83,81,71,52,39,66
BURLINGTON,VT,45,49,49,52,55,56,66,59,53,46,31,31,49
LYNCHBURG,VA,53,58,60,62,63,65,62,64,60,59,55,52,59
NORFOLK,VA,55,62,63,67,62,65,64,66,66,59,58,53,61
RICHMOND,VA,54,61,62,66,65,68,66,67,65,60,60,54,62
QUILLAYUTE,WA,20,28,31,36,37,35,42,42,44,34,21,16,32
SEATTLE,WA,23,38,50,52,55,55,64,62,57,43,29,20,45
SPOKANE,WA,25,37,53,57,63,65,78,76,70,54,26,22,52
ELKINS,WV,,,,,,,69,50,52,43,31,18,
GREEN BAY,WI,51,56,55,56,64,66,69,65,57,48,35,38,55
MADISON,WI,47,51,50,49,57,63,67,62,58,50,37,36,52
MILWAUKEE,WI,47,51,50,52,60,65,69,64,57,51,37,35,53
CHEYENNE,WY,58,66,67,66,63,64,67,70,70,67,56,57,64
LANDER,WY,63,67,69,65,63,71,74,76,73,66,58,59,67
SHERIDAN,WY,50,55,61,57,59,65,74,74,69,59,52,52,60
GUAM,PC,54,57,61,63,59,54,44,41,39,41,41,48,50
KOROR,PC,56,59,64,63,58,47,48,48,54,49,53,51,54
MAJURO- MARSHALL,,62,66,66,55,57,55,56,62,61,55,54,54,58
PAGO PAGO- AMER SAMOA,PC,43,45,50,44,38,38,45,51,57,44,42,40,44
POHNPEI- CAROLINE IS.,PC,40,43,47,43,41,40,40,43,44,38,41,35,41
CHUUK- E. CAROLINE IS.,PC,56,62,60,57,52,50,53,57,51,48,49,51,53
YAP- W CAROLINE IS.,PC,57,62,66,66,61,55,48,49,51,51,57,58,56
SAN JUAN,PR,66,69,75,69,58,63,68,67,65,60,57,57,64
